| Name | Home Institution |
| Antony Lewis | University of Sussex |
| Yaqiong Li | Cornell University |
| Zack Li | University of California, Berkeley |
| Guanming Liang | University of Cambridge |
| Michele Limon | University of Pennsylvania |
| Lawrence Lin | Cornell University |
| Michael Link | National Institute for Standards and Technology (NIST) |
| Jia Liu | University of Tokyo |
| Yiqi Liu | Princeton University |
| JB Lloyd | University of Texas at Austin |
| Martine Lokken | Institute de Ciències de l'Espai / Institute of Space Sciences |
| Jack Lonergan | University of Southern California |
| Thibaut Louis | Université Paris-Saclay |
| Tammy Lucas | National Institute for Standards and Technology (NIST) |
| Marius Lungu | Princeton University |
| Matt Lyons | Cardiff University |
| Niall MacCrann | University of Cambridge |
| Amanda MacInnis | Stony Brook University |
| Mathew Madhavacheril | University of Pennsylvania |
| Felipe Maldonado | DaVinci Science Center |
| Maya Mallaby-Kay | University of Chicago |
| Alexander Manduca | University of Pennsylvania |
| Aashrita Mangu | University of Chicago |
| Abhishek Sanjay Maniyar | Stanford University |
| Gabriela A. Marques | Fermi National Accelerator Laboratory |
| Pierre Masson | Université Paris Cité |
| John Mates | National Institute for Standards and Technology (NIST) |
| Frederick Matsuda | Japan Aerospace Exploration Agency |
| Tomotake Matsumura | University of Tokyo |
| Phil Mauskopf | Arizona State University |
| Fiona McCarthy | University of Cambridge |
| Michael McCrackan | Yale University |
| Mark McCulloch | University of Manchester |
| Jeff McMahon | University of Chicago |
| P. Daniel Meerburg | University of Groningen |
| Yogesh Mehta | Arizona State University |
| Jean-Baptiste Melin | Université Paris Cité |
| Ezekiel Meulbroek | University of Chicago |
| Joel Meyers | Southern Methodist University |
| Alicia Middleton | Cornell University |
| Yuta Miki | University of Tokyo |
| Amber Miller | University of Southern California |
| Chris Miller | University of Michigan |
| Yasutaka Mizozoe | Kyoto University |
| Babak Mohammadian | University of Manchester |
| Gabriele Montefalcone | University of Texas at Austin |
| Kavilan Moodley | University of KwaZulu-Natal |
| Jenna Moore | Duke University |
| Thomas Morris | Yale University |
| Magdy Morshed | University of Ferrara |
| Tim Morton | University of Southern California |
| Emily Moser | Cornell University |
| Tony Mroczkowski | Institute de Ciències de l'Espai / Institute of Space Sciences |
| Tamaki Murokoshi | Tohoku University |
| Aliza Mustafa | International School for Advanced Studies (SISSA) |
| Jeremy Myers | University of Pennsylvania |
| Moritz Münchmeyer | University of Wisconsin-Madison |
| Sigurd Naess | Flatiron Institute |
| Hironobu Nakata | Kyoto University |
| Toshiya Namikawa | University of Tokyo |
| Masashi Nashimoto | University of Tokyo |
| Federico Nati | University of Milano-Bicocca |
| Paolo Natoli | University of Ferrara |
| Mattia Negrello | Cardiff University |
| Simran K. Nerval | University of Toronto |
| Laura Newburgh | Yale University |
| Isabel Newns | University of Manchester |
| David V. Nguyen | Yale University |
| Andrina Nicola | University of Bonn |
| Michael D. Niemack | Cornell University |
| Haruki Nishino | University of Tokyo |
| Alessandro Novelli | University of Milano-Bicocca |
| Sandra O'Neill | Princeton University |
| Narumi Okumoto | Kyoto University |
| Angiola Orlando | University of Manchester |
| John Orlowski-Scherer | University of Pennsylvania |
| Luca Pagano | University of Ferrara |
| Lyman A. Page | Princeton University |
| Shivam Pandey | Columbia University |
| Andreas Papageorgiou | Cardiff University |
| Ioannis Paraskevakos | Princeton University |
| Bruce Partridge | Haverford College |
| Darshan Patel | Cornell University |
| Raagini Patki | Cornell University |
| Sophia Paulino Korte | Texas A&M University |
